date,kg,month~1,month~2,month~3,month~4,month~5,month~6,month~7,month~8,month~9,month~10,month~11,month~12,Product~MAP,Product~MOP,Product~UREIA,oc
2007-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
2007-12-01,31650855.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
2007-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
2008-01-01,11250000.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2008-01-01,26951859.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2008-01-01,5501889.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
2008-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2008-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2008-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2008-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
2008-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
2008-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
2008-04-01,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
2008-04-01,10772051.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
2008-04-01,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
2008-05-01,22154640.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
2008-05-01,47509101.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
2008-05-01,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
2008-06-01,32073316.91121992,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
2008-06-01,10002175.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
2008-06-01,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
2008-07-01,28180251.45107869,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
2008-07-01,21260626.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
2008-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
2008-08-01,10250862.247110682,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
2008-08-01,44432730.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
2008-08-01,33058109.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1
2008-09-01,28090884.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
2008-09-01,23530899.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
2008-09-01,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
2008-10-01,11722685.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
2008-10-01,36277698.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
2008-10-01,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
2008-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0
2008-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0
2008-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0
2008-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
2008-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
2008-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
2009-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2009-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2009-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2009-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2009-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2009-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2009-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
2009-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
2009-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
2009-04-01,4200000.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
2009-04-01,5043680.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
2009-04-01,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
2009-05-01,17570676.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
2009-05-01,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
2009-05-01,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
2009-06-01,5558437.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
2009-06-01,32499430.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
2009-06-01,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
2009-07-01,18174950.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
2009-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
2009-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
2009-08-01,13957048.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
2009-08-01,37993477.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
2009-08-01,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
2009-09-01,25082443.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
2009-09-01,25277679.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
2009-09-01,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
2009-10-01,16523443.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
2009-10-01,7003360.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
2009-10-01,5300049.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1
2009-11-01,8410700.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2009-11-01,15300000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
2009-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0
2009-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
2009-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
2009-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
2010-01-01,11065162.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2010-01-01,12190943.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2010-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2010-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2010-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2010-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2010-03-01,8723344.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
2010-03-01,7107759.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
2010-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
2010-04-01,11777889.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
2010-04-01,5032067.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
2010-04-01,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
2010-05-01,13955764.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
2010-05-01,10037140.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
2010-05-01,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
2010-06-01,9902971.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
2010-06-01,30288648.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
2010-06-01,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
2010-07-01,15392823.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
2010-07-01,25807191.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
2010-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
2010-08-01,14190427.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
2010-08-01,10331246.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
2010-08-01,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
2010-09-01,0.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
2010-09-01,38739442.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
2010-09-01,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
2010-10-01,20855533.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
2010-10-01,28051636.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
2010-10-01,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
2010-11-01,22729307.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2010-11-01,43812854.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
2010-11-01,11788591.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1
2010-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
2010-12-01,5031135.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
2010-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
2011-01-01,9150123.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2011-01-01,30503618.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
2011-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2011-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2011-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2011-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2011-03-01,31767710.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
2011-03-01,15331624.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
2011-03-01,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
2011-04-01,12584349.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
2011-04-01,39744334.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
2011-04-01,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
2011-05-01,19401039.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
2011-05-01,56360927.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
2011-05-01,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
2011-06-01,17966159.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1
2011-06-01,34991639.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
2011-06-01,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
2011-07-01,24967220.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
2011-07-01,43440663.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
2011-07-01,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
2011-08-01,34085162.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
2011-08-01,45783995.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
2011-08-01,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
2011-09-01,33453953.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
2011-09-01,52377208.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1
2011-09-01,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
2011-10-01,19749521.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
2011-10-01,40116685.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
2011-10-01,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
2011-11-01,5624530.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2011-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0
2011-11-01,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0
2011-12-01,7889407.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
2011-12-01,8112690.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
2011-12-01,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
2012-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2012-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2012-01-01,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2012-02-01,11358215.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2012-02-01,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
