CO_ANO,CO_MES,KG_LIQUIDO,VL_FOB,km
2018,12,9000000.0,3921090.0,2
2018,12,10770362.0,4483915.0,2
2018,12,16073687.0,6041498.0,2
2019,1,11000000.0,4769548.0,2
2019,1,26029141.0,10678675.0,2
2019,1,5000000.0,2229902.0,2
2019,1,7300292.0,2870021.0,2
2019,2,12277985.0,5036387.0,2
2019,2,5055734.0,1901996.0,2
2019,2,14200000.0,5906362.0,2
2019,3,36167014.0,14769262.0,2
2019,4,9955000.0,4387589.0,2
2019,4,12975000.0,5420484.0,2
2019,5,27605000.0,11627342.0,2
2019,6,13650000.0,5885899.0,2
2019,7,17855000.0,7288162.0,2
2019,7,16500000.0,7025766.0,2
2019,8,17500000.0,7370275.0,2
2019,8,14977320.0,5956529.0,2
2019,8,20550000.0,8365984.0,2
2019,9,15000000.0,6370387.0,2
2019,9,12600000.0,5132548.0,2
2019,10,36300350.0,15059064.0,2
2019,11,51957046.0,21408953.0,2
2019,11,45761000.0,17654299.0,2
2019,12,10000000.0,3932775.0,2
2019,12,32666000.0,13074193.0,2
2020,1,9000000.0,3259888.0,2
2020,2,13200000.0,4545113.0,2
2020,2,11000000.0,3629945.0,2
2020,5,7605000.0,2109308.0,2
2020,6,22350000.0,5820240.0,2
2020,6,26937000.0,7475055.0,2
2020,7,10930000.0,2896559.0,2
2020,7,20350000.0,5774719.0,2
2020,8,15415000.0,4019064.0,2
2020,9,23000000.0,5671316.0,2
2020,9,11494000.0,3006798.0,2
2020,9,17551140.0,4609825.0,2
2020,10,15400000.0,3873684.0,2
2020,11,10684300.0,3458363.0,2
2020,11,72844340.0,19437678.0,2
2020,11,20499320.0,5326895.0,2
2020,12,15000000.0,4028477.0,2
2021,1,10000000.0,2874214.0,2
2021,1,15744000.0,4225371.0,2
2021,2,14817080.0,4127569.0,2
2021,2,10642000.0,2846936.0,2
2021,3,7509380.0,1918909.0,2
2021,3,21178920.0,4941602.0,2
2021,3,28839670.0,7681973.0,2
2021,4,11031080.0,2947709.0,2
2021,5,7730560.0,1903055.0,2
2021,5,9800000.0,2394760.0,2
2021,6,18017230.0,4533227.0,2
2021,7,15000000.0,4501343.0,2
2021,7,9928000.0,3091272.0,2
2021,7,5799000.0,1548004.0,2
2021,8,27695000.0,9460549.0,2
2021,9,13247000.0,7345645.0,2
2021,9,29836530.0,10347696.0,2
2021,10,14799000.0,5811600.0,2
2021,10,15581690.0,4165733.0,2
2021,11,32021700.0,10461168.0,2
2021,11,39260520.0,18845386.0,2
2021,11,25521500.0,5600989.0,2
2021,12,30577000.0,20761065.0,2
2021,12,8451800.0,3197208.0,2
2021,12,6989777.0,2291330.0,2
2022,1,31000000.0,17441083.0,2
2022,1,13357000.0,8628984.0,2
2022,1,15001200.0,8765857.0,2
2022,1,14899590.0,11405859.0,2
2022,2,16618000.0,8693618.0,2
2022,2,11498669.0,7190700.0,2
2022,3,17016660.0,3739213.0,2
2022,3,7700000.0,5191996.0,2
2022,3,17959211.0,10644744.0,2
2022,3,14700030.0,8037876.0,2
2022,3,3567000.0,2776464.0,2
2022,4,8509780.0,6596040.0,2
2022,4,43722146.0,27989972.0,2
2022,5,10024880.0,7779354.0,2
2022,5,27738840.0,15585460.0,2
2022,5,10500000.0,13022339.0,2
2022,5,40547656.0,25425051.0,2
2022,6,10000000.0,2998305.0,2
2022,6,11700000.0,2334829.0,2
2022,6,37553110.0,24110188.0,2
2022,6,18079730.0,13541197.0,2
2022,7,14400000.0,15400486.0,2
2022,7,21216063.0,13643913.0,2
2022,7,44359165.0,34638704.0,2
2022,8,13735465.0,13716462.0,2
2022,8,18491500.0,13462817.0,2
2022,8,14156095.0,11647161.0,2
2022,9,8013383.0,7069398.0,2
2022,9,19400000.0,15826891.0,2
2022,9,15450713.0,12235135.0,2
2022,10,4958398.0,4426989.0,2
2022,10,6600000.0,5223879.0,2
2022,10,15670000.0,18854164.0,2
2022,11,20000276.0,9603513.0,2
2022,11,13300000.0,14001585.0,2
2022,11,10010000.0,5566938.0,2
2022,12,13402870.0,6921009.0,2
2022,12,6269922.0,6528766.0,2
2023,1,11057839.0,5881528.0,2
2023,1,20911000.0,21056942.0,2
2023,1,15863000.0,19380794.0,2
2023,2,11000000.0,5465740.0,2
2023,3,5000000.0,2337147.0,2
2023,4,7500414.0,6487081.0,2
2023,4,26412296.0,18387577.0,2
2023,4,18030518.0,9846597.0,2
2023,5,38100338.0,18368545.0,2
2023,5,5500000.0,2445461.0,2
2023,5,8006338.0,6351787.0,2
2023,6,17600000.0,6634954.0,2
2023,6,29852531.0,10546429.0,2
2023,6,11382900.0,2610381.0,2
2023,7,20017277.0,11510030.0,2
2023,7,46768457.0,26415907.0,2
2023,7,24641286.0,11612944.0,2
2023,8,21941795.0,13754858.0,2
2023,8,10500000.0,2623546.0,2
2023,9,52525000.0,21968662.0,2
2023,9,21250000.0,5841398.0,2
2023,10,7900000.0,2278630.0,2
2023,10,9130000.0,2802389.0,2
2023,10,20407366.0,5493046.0,2
2023,11,6608243.0,2984193.0,2
2023,11,10014090.0,2505806.0,2
2023,11,11311000.0,3484584.0,2
2023,11,12522351.0,3585840.0,2
2023,12,8978039.0,4501417.0,2
2023,12,10000000.0,2880051.0,2
2024,1,8800520.0,2412095.0,2
2024,1,14265906.0,4049298.0,2
2024,2,11514429.0,4758402.0,2
2024,2,8647956.0,2552888.0,2
2024,2,7012104.0,1714994.0,2
2024,2,14274415.0,4872832.0,2
2024,2,8698615.0,2419685.0,2
2024,3,9005596.0,2596665.0,2
2024,3,13404470.0,3345360.0,2
2024,3,37432602.0,8977241.0,2
2024,4,33523305.0,8913352.0,2
2024,4,24694193.0,7970185.0,2
2024,5,12776708.0,6794357.0,2
2024,5,11406130.0,3191317.0,2
2024,5,76051504.0,19871352.0,2
2024,5,53707094.0,14183060.0,2
2024,6,47440025.0,12771711.0,2
2024,6,7010000.0,1724670.0,2
2024,6,68306307.0,18311135.0,2
2024,6,10061545.0,2753262.0,2
2024,7,39164297.0,13048900.0,2
2024,7,25824902.0,7893851.0,2
2024,8,32120000.0,8140013.0,2
2024,8,10790000.0,2646776.0,2
2024,8,15190000.0,4022313.0,2
2024,8,14974320.0,3975682.0,2
