year,month,Product,UF,kg,US$_fob,km
2013,9,Soy Group,BA,84351333,45141743,0
2013,9,Soy Group,GO,167286763,96917731,0
2013,9,Soy Group,MA,195552545,104416887,0
2013,9,Soy Group,MG,227782903,121024279,0
2013,9,Soy Group,MS,117961082,61080185,0
2013,9,Soy Group,MT,607401880,322859854,0
2013,9,Soy Group,PA,23658492,12511589,0
2013,9,Soy Group,PI,41125537,22434229,0
2013,9,Soy Group,PR,821924785,431262141,0
2013,9,Soy Group,RO,75174940,38596073,0
2013,9,Soy Group,RS,924378268,497944028,0
2013,9,Soy Group,SC,52669885,27189307,0
2013,9,Soy Group,SP,13622017,7159416,0
2013,9,Soy Group,TO,114680640,61780650,0
2013,10,Soy Group,GO,39041665,19748593,0
2013,10,Soy Group,MA,120075826,64998129,0
2013,10,Soy Group,MG,69979212,42955729,0
2013,10,Soy Group,MS,39518625,21152869,0
2013,10,Soy Group,MT,145926064,77704930,0
2013,10,Soy Group,PR,522787374,279246428,0
2013,10,Soy Group,RS,468741126,260556832,0
2013,10,Soy Group,SP,9799862,5326290,0
2013,10,Soy Group,TO,67756129,36475386,0
2013,11,Soy Group,GO,21719878,11995911,0
2013,11,Soy Group,MA,50381227,26476052,0
2013,11,Soy Group,MS,29227097,15385995,0
2013,11,Soy Group,MT,131313823,70407366,0
2013,11,Soy Group,PA,55641090,29410399,0
2013,11,Soy Group,PI,18461388,9915360,0
2013,11,Soy Group,PR,195860248,103241347,0
2013,11,Soy Group,RS,56618273,35031946,0
2013,11,Soy Group,SP,12177235,6816950,0
2013,11,Soy Group,TO,61140295,31954510,0
2013,12,Soy Group,MT,30866495,16955097,0
2013,12,Soy Group,PR,8612541,5360621,0
2014,1,Soy Group,MT,14865310,7725611,0
2014,1,Soy Group,RR,12702300,8368910,0
2014,2,Soy Group,AL,10386770,5099073,0
2014,2,Soy Group,BA,11949675,5903108,0
2014,2,Soy Group,GO,419375491,210006406,0
2014,2,Soy Group,MG,25477273,12823178,0
2014,2,Soy Group,MS,121941984,60304235,0
2014,2,Soy Group,MT,1001688924,497227399,0
2014,2,Soy Group,PR,770810472,375943954,0
2014,2,Soy Group,RR,9857900,6829849,0
2014,2,Soy Group,RS,116632340,58800438,0
2014,2,Soy Group,SC,66245969,33142748,0
2014,2,Soy Group,SP,69260816,35102141,0
2014,3,Soy Group,BA,101284538,54237195,0
2014,3,Soy Group,DF,43263680,20912383,0
2014,3,Soy Group,GO,759182506,387834421,0
2014,3,Soy Group,MA,68148311,33971253,0
2014,3,Soy Group,MG,206477647,105744686,0
2014,3,Soy Group,MS,626584993,313659705,0
2014,3,Soy Group,MT,2308125147,1172802922,0
2014,3,Soy Group,PA,12129920,5955192,0
2014,3,Soy Group,PR,1115605458,548015854,0
2014,3,Soy Group,RO,41911844,20427027,0
2014,3,Soy Group,RS,144254978,75530074,0
2014,3,Soy Group,SC,86177315,43085698,0
2014,3,Soy Group,SP,508849504,261525898,0
2014,3,Soy Group,TO,89114515,43837789,0
2014,4,Soy Group,BA,197035230,100322474,0
