CO_ANO,CO_MES,CO_NCM,nick,SG_UF_NCM,CO_PAIS,CO_URF,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
1997,4,31042090,MOP,SP,249,817800,2002260,284885,25040,600
1997,4,31042090,MOP,SP,383,817800,16300000,2151800,195600,9303
1997,4,31042090,MOP,ZN,23,417600,500000,68000,6000,356
1997,4,31042090,MOP,ZN,23,717600,3543470,531520,63000,0
1997,4,31042090,MOP,ZN,149,417600,1500000,199500,18000,0
1997,4,31042090,MOP,ZN,149,520100,2500000,323750,30000,425
1997,4,31042090,MOP,ZN,249,717700,1,44,26,0
1997,4,31042090,MOP,ZN,383,440100,1000000,126000,12000,250
1997,4,31042090,MOP,ZN,676,440100,1499600,193448,17995,632
1997,4,31042090,MOP,ZN,676,727600,5250000,750750,63000,2417
1997,4,31052000,NPK,ZN,249,717600,392,960,241,0
1997,4,31052000,NPK,ZN,999,260151,64000,17280,2240,0
1997,4,31054000,MAP,BA,676,510100,3515344,784030,42990,663
1997,4,31054000,MAP,GO,831,915100,3013880,581845,36000,900
1997,4,31054000,MAP,PR,676,915100,3793170,751079,45487,0
1997,4,31054000,MAP,PR,831,915100,6059020,1380544,73620,0
1997,4,31054000,MAP,RS,249,1010500,10426715,2137477,105006,0
1997,4,31054000,MAP,RS,676,517600,987,225769,12000,1465
1997,4,31054000,MAP,RS,676,1010500,2001362,458492,24000,0
1997,4,31054000,MAP,RS,676,1015400,2626794,977665,58417,2163
1997,4,31054000,MAP,ZN,676,440100,6226980,1385686,74724,6669
1997,4,31054000,MAP,ZN,676,517600,2979682,673288,36600,736
1997,4,31054000,MAP,ZN,676,727600,831000,174095,9972,605
1997,4,31059090,NK,SP,23,817800,110,368,31,2
1997,4,31059090,NK,SP,249,817800,17,81,3,0
1997,4,31059090,NK,SP,999,817800,19200,12759,1875,233
1997,5,31021010,UREIA,RS,999,1010500,4925470,1015133,50000,3501
1997,5,31021010,UREIA,SP,603,915100,1625490,281210,19835,1952
1997,5,31021010,UREIA,ZN,23,717700,11,232,67,0
1997,5,31021010,UREIA,ZN,999,260151,64000,14720,2240,0
1997,5,31022100,SAM,BA,23,510100,3677529,378785,36950,1219
1997,5,31022100,SAM,BA,23,517600,525000,54075,5250,16
1997,5,31022100,SAM,MG,603,817800,6103600,680307,48829,4331
1997,5,31022100,SAM,RS,23,1010500,4343170,390885,42000,1428
1997,5,31022100,SAM,RS,87,1010500,1002570,103265,18000,0
1997,5,31022100,SAM,RS,87,1015400,1050000,108150,18900,0
1997,5,31022100,SAM,SP,23,817800,20,247,8,1
1997,5,31022100,SAM,SP,87,817800,2000000,206000,36000,1678
1997,5,31022100,SAM,SP,603,817800,3330000,351990,26640,2033
1997,5,31022100,SAM,SP,999,817800,2460000,272229,19680,1179
1997,5,31022100,SAM,SP,999,817800,12,63,4,0
1997,5,31022100,SAM,ZN,23,417600,5291345,510359,52913,2339
1997,5,31022100,SAM,ZN,23,440100,2000000,194000,36000,973
1997,5,31022100,SAM,ZN,23,717700,1,119,3,0
1997,5,31022100,SAM,ZN,87,417600,800000,77600,14400,442
1997,5,31022100,SAM,ZN,87,440100,2000000,194000,36000,500
1997,5,31022100,SAM,ZN,676,417600,620000,60140,7440,222
1997,5,31042090,MOP,BA,676,510100,2088312,269392,24000,1126
1997,5,31042090,MOP,BA,676,517600,2610389,330214,30000,1041
1997,5,31042090,MOP,MG,23,817800,3000000,408000,36000,1874
1997,5,31042090,MOP,MG,383,915100,719080,90604,9000,225
1997,5,31042090,MOP,MG,676,817800,8034236,1116759,96411,2410
1997,5,31042090,MOP,MG,999,817800,8289808,1185443,99478,2487
1997,5,31042090,MOP,PR,23,915100,14004120,1919750,168000,8163
1997,5,31042090,MOP,PR,149,915100,1027630,136675,12000,833
1997,5,31042090,MOP,PR,383,915100,21483040,2899054,264000,14047
1997,5,31042090,MOP,PR,999,915100,5913140,715490,90000,5949
1997,5,31042090,MOP,RS,23,417600,1000000,136000,12000,899
1997,5,31042090,MOP,RS,23,1010500,3976460,501034,48000,0
1997,5,31042090,MOP,RS,23,1015400,5015350,698096,60184,600
1997,5,31042090,MOP,RS,149,417600,3500000,440500,42000,2934
1997,5,31042090,MOP,RS,149,1010500,8940651,1126522,108000,0
1997,5,31042090,MOP,RS,383,1010500,209852,29799,2400,0
1997,5,31042090,MOP,SP,23,817800,17500000,2372000,210000,14092
1997,5,31042090,MOP,SP,149,817800,2500000,322000,30000,750
1997,5,31042090,MOP,SP,249,817600,0,302,11,0
1997,5,31042090,MOP,SP,383,817800,80000,15200,6160,136
1997,5,31042090,MOP,SP,383,915100,1000000,135000,12000,706
1997,5,31042090,MOP,SP,999,817800,3020960,388740,35340,884
1997,5,31042090,MOP,SP,999,915100,1462130,182766,22500,1150
1997,5,31042090,MOP,ZN,23,440100,4500000,612000,54000,2250
1997,5,31042090,MOP,ZN,23,717600,3472600,520890,63000,0
1997,5,31042090,MOP,ZN,158,920151,30000,2999,334,0
1997,5,31042090,MOP,ZN,383,915100,498700,67309,6000,1107
1997,5,31042090,MOP,ZN,676,440100,4355210,551048,50286,1762
1997,5,31042090,MOP,ZN,676,517600,2012986,263701,25200,0
1997,5,31052000,NPK,RS,573,817800,60000,54563,3020,58
1997,5,31052000,NPK,RS,999,1011000,350000,67333,5117,0
1997,5,31052000,NPK,RS,999,1015300,80000,14929,1481,0
1997,5,31052000,NPK,SP,149,817800,36000,36184,4700,0
1997,5,31052000,NPK,SP,249,817800,16591,28330,2450,356
1997,5,31052000,NPK,ZN,249,717700,947,7104,2605,49
1997,5,31052000,NPK,ZN,573,920251,15000,13343,1317,0
1997,5,31052000,NPK,ZN,999,260151,189500,51165,6633,0
1997,5,31054000,MAP,BA,676,510100,2038700,432204,24464,0
1997,5,31054000,MAP,GO,676,520100,467515,105658,5830,735
1997,5,31054000,MAP,PR,249,915100,2397540,536832,24000,2129
1997,5,31054000,MAP,PR,831,915100,575880,123814,7200,864
1997,5,31054000,MAP,PR,831,1015400,397838,81159,4774,120
1997,5,31054000,MAP,RS,249,1010500,3157997,685285,31512,2356
1997,5,31054000,MAP,RS,676,1010500,5924349,1211529,60034,0
1997,5,31054000,MAP,RS,831,1015400,2983783,632562,35805,900
1997,5,31054000,MAP,SP,999,817800,20000,13312,2500,262
1997,5,31054000,MAP,ZN,676,417600,2000000,435000,24000,1865
1997,5,31054000,MAP,ZN,676,440100,3648140,804799,42846,1383
1997,5,31054000,MAP,ZN,676,517600,2516231,563636,31500,0
1997,5,31055900,NP,RS,999,1011000,200000,44800,4400,0
1997,5,31055900,NP,RS,999,1015300,750000,194875,4625,0
1997,5,31059090,NK,SP,23,817800,11,40,4,0
1997,5,31059090,NK,SP,249,817600,0,303,11,0
1997,5,31059090,NK,SP,999,817800,20000,13331,1769,241
1997,5,31059090,NK,ZN,158,920151,300000,69888,3336,0
1997,5,31059090,NK,ZN,573,920251,400,5161,35,0
1997,6,31021010,UREIA,PR,603,915100,5203080,879321,63670,9997
1997,6,31021010,UREIA,RS,999,1010500,5256195,870426,63000,0
1997,6,31021010,UREIA,ZN,676,727600,5000000,850000,60000,3088
1997,6,31021010,UREIA,ZN,831,920151,2000000,352000,24000,0
1997,6,31021010,UREIA,ZN,999,920151,4550000,792000,54600,824
1997,6,31022100,SAM,MG,245,727600,2500000,275000,30000,1025
