kton,mm,date,kton_pred_testemunha,kton_pred_tratamento,ad,train_size_anos,md,erro_tratamento,erro_testemunha,CO_MES
119.097475,56.4,1564617600000000000,91,96,7,10.0,1,23.097475000000003,28.097475000000003,8
84.69715,126.0,1567296000000000000,112,101,7,10.0,1,16.302850000000007,27.302850000000007,9
104.374769,245.2,1569888000000000000,133,97,7,10.0,1,7.374769000000001,28.625231,10
233.250861,79.2,1572566400000000000,102,99,7,10.0,1,134.250861,131.250861,11
141.196585,26.4,1575158400000000000,97,102,7,10.0,1,39.196585,44.196585,12
111.506872,0.0,1577836800000000000,96,88,7,10.0,1,23.506872,15.506872000000001,1
67.158087,0.0,1580515200000000000,95,84,7,10.0,1,16.841913000000005,27.841913000000005,2
37.529736,0.0,1583020800000000000,91,83,7,10.0,1,45.470264,53.470264,3
27.358268,2.8,1585699200000000000,99,75,7,10.0,1,47.641732000000005,71.641732,4
77.779664,56.8,1588291200000000000,99,100,7,10.0,1,22.220336000000003,21.220336000000003,5
149.660512,91.0,1590969600000000000,108,102,7,10.0,1,47.66051200000001,41.66051200000001,6
92.307522,59.2,1593561600000000000,102,103,7,10.0,1,10.692477999999994,9.692477999999994,7
104.22173,239.2,1596240000000000000,140,102,7,10.0,1,2.2217299999999938,35.778270000000006,8
128.773967,127.4,1598918400000000000,114,100,7,10.0,1,28.773967,14.773966999999999,9
93.054049,323.6,1601510400000000000,153,103,7,10.0,1,9.945950999999994,59.945950999999994,10
236.502326,213.2,1604188800000000000,127,102,7,10.0,1,134.502326,109.50232600000001,11
91.33475,30.7,1606780800000000000,99,99,7,10.0,1,7.66525,7.66525,12
142.006246,0.8,1609459200000000000,102,67,7,10.0,1,75.006246,40.006246000000004,1
55.08285,0.0,1612137600000000000,103,71,7,10.0,1,15.91715,47.91715,2
228.271186,0.0,1614556800000000000,95,67,7,10.0,1,161.271186,133.271186,3
92.473316,0.2,1617235200000000000,98,90,7,10.0,1,2.473315999999997,5.526684000000003,4
92.775764,42.4,1619827200000000000,109,118,7,10.0,1,25.224236000000005,16.224236000000005,5
67.29326,32.0,1622505600000000000,104,108,7,10.0,1,40.706739999999996,36.706739999999996,6
101.390086,19.7,1625097600000000000,104,97,7,10.0,1,4.390085999999997,2.6099140000000034,7
102.768174,60.9,1627776000000000000,114,110,7,10.0,1,7.231825999999998,11.231825999999998,8
104.251125,207.6,1630454400000000000,135,108,7,10.0,1,3.748874999999998,30.748874999999998,9
134.514093,39.4,1633046400000000000,106,107,7,10.0,1,27.514093000000003,28.514093000000003,10
150.597533,0.1,1635724800000000000,106,90,7,10.0,1,60.597533,44.597533,11
157.758214,0.0,1638316800000000000,108,87,7,10.0,1,70.75821400000001,49.75821400000001,12
145.246683,0.2,1640995200000000000,110,104,7,10.0,1,41.24668299999999,35.24668299999999,1
59.604043,0.0,1643673600000000000,112,103,7,10.0,1,43.395957,52.395957,2
156.259691,0.0,1646092800000000000,108,98,7,10.0,1,58.259691000000004,48.259691000000004,3
125.55269,3.3,1648771200000000000,110,109,7,10.0,1,16.55269,15.552689999999998,4
269.679086,81.3,1651363200000000000,126,113,7,10.0,1,156.67908599999998,143.67908599999998,5
226.338403,252.8,1654041600000000000,153,126,7,10.0,1,100.338403,73.338403,6
192.826908,427.2,1656633600000000000,190,134,7,10.0,1,58.826908,2.826908000000003,7
171.847513,208.0,1659312000000000000,151,137,7,10.0,1,34.84751299999999,20.847512999999992,8
127.736866,127.4,1661990400000000000,141,140,7,10.0,1,12.263133999999994,13.263133999999994,9
95.821017,60.7,1664582400000000000,137,134,7,10.0,1,38.178983,41.178983,10
122.342324,32.9,1667260800000000000,129,124,7,10.0,1,1.657675999999995,6.657675999999995,11
83.468485,0.1,1669852800000000000,123,127,7,10.0,1,43.531515,39.531515,12
113.265844,0.0,1672531200000000000,123,121,7,10.0,1,7.734155999999999,9.734155999999999,1
66.172521,0.0,1675209600000000000,124,119,7,10.0,1,52.827479,57.827479,2
151.10407,0.0,1677628800000000000,119,117,7,10.0,1,34.10407000000001,32.10407000000001,3
195.197856,37.7,1680307200000000000,127,125,7,10.0,1,70.197856,68.197856,4
129.817488,22.9,1682899200000000000,127,120,7,10.0,1,9.817487999999997,2.8174879999999973,5
220.981669,286.8,1685577600000000000,169,131,7,10.0,1,89.98166900000001,51.98166900000001,6
221.617426,239.3,1688169600000000000,168,132,7,10.0,1,89.617426,53.617425999999995,7
96.753794,202.1,1690848000000000000,167,140,7,10.0,1,43.246206,70.246206,8
172.570477,19.9,1693526400000000000,136,129,7,10.0,1,43.57047700000001,36.57047700000001,9
240.914358,83.2,1696118400000000000,149,135,7,10.0,1,105.914358,91.914358,10
90.119779,50.5,1698796800000000000,146,143,7,10.0,1,52.880221000000006,55.880221000000006,11
128.49669,11.6,1701388800000000000,144,134,7,10.0,1,5.503309999999999,15.503309999999999,12
