CO_ANO,CO_MES,KG_LIQUIDO,VL_FOB,km
2023,4,1575000.0,667701.0,1
2023,4,18030518.0,9846597.0,1
2023,5,3300000.0,1423107.0,1
2023,5,38100338.0,18368545.0,1
2023,5,3908000.0,1573926.0,1
2023,5,5500000.0,2445461.0,1
2023,5,8006338.0,6351787.0,1
2023,6,17600000.0,6634954.0,1
2023,6,29852531.0,10546429.0,1
2023,6,5000000.0,1174651.0,1
2023,6,11382900.0,2610381.0,1
2023,7,20017277.0,11510030.0,1
2023,7,2300000.0,718510.0,1
2023,7,46768457.0,26415907.0,1
2023,7,24641286.0,11612944.0,1
2023,8,21941795.0,13754858.0,1
2023,8,5293000.0,1596032.0,1
2023,8,10500000.0,2623546.0,1
2023,9,52525000.0,21968662.0,1
2023,9,21250000.0,5841398.0,1
2023,10,7900000.0,2278630.0,1
2023,10,9130000.0,2802389.0,1
2023,10,20407366.0,5493046.0,1
2023,11,6608243.0,2984193.0,1
2023,11,10014090.0,2505806.0,1
2023,11,11311000.0,3484584.0,1
2023,11,12522351.0,3585840.0,1
2023,12,8978039.0,4501417.0,1
2023,12,10000000.0,2880051.0,1
2024,1,8800520.0,2412095.0,1
2024,1,14265906.0,4049298.0,1
2024,2,11514429.0,4758402.0,1
2024,2,8647956.0,2552888.0,1
2024,2,7012104.0,1714994.0,1
2024,2,14274415.0,4872832.0,1
2024,2,8698615.0,2419685.0,1
2024,3,9005596.0,2596665.0,1
2024,3,13404470.0,3345360.0,1
2024,3,37432602.0,8977241.0,1
2024,4,6971914.0,2035478.0,1
2024,4,5042854.0,1169696.0,1
2024,4,33523305.0,8913352.0,1
2024,4,24694193.0,7970185.0,1
2024,5,2202748.0,974703.0,1
2024,5,12776708.0,6794357.0,1
2024,5,11406130.0,3191317.0,1
2024,5,76051504.0,19871352.0,1
2024,5,53707094.0,14183060.0,1
2024,6,47440025.0,12771711.0,1
2024,6,7010000.0,1724670.0,1
2024,6,68306307.0,18311135.0,1
2024,6,10061545.0,2753262.0,1
2024,7,39164297.0,13048900.0,1
2024,7,3013009.0,810600.0,1
2024,7,25824902.0,7893851.0,1
2024,8,32120000.0,8140013.0,1
2024,8,10790000.0,2646776.0,1
2024,8,15190000.0,4022313.0,1
2024,8,14974320.0,3975682.0,1
